AGP field,AGP Table,field type,content specifications,EpiDoc,questions/notes
graffito_id,graffitotodrawingtags,character(9),foreign key: refers to edr_inscriptions table,,
drawing_tag_id,graffitotodrawingtags,integer,foreign key: refers to drawing_tags table,,
,,,,,
edr_id,greatest_hits_info,character(9),foreign key: refers to edr_inscriptions table,,
commentary,greatest_hits_info,text,displayed on the greatest hits page,,
preferred_image,greatest_hits_info,varchar,,,
,,,,,
theme_id,themes,integer,internal DB id,,
name,themes,varchar,,,
,,,,,
id,graffititothemes,integer,internal DB id,,
graffito_id,graffititothemes,character(9),foreign key: refers to edr_inscriptions table,,
theme_id,graffititothemes,integer,foreign key: refers to themes table,,
,,,,,
edr_id,photos,character(9),(from EDR),,
photo_id,photos,varchar,(from EDR),,
,,,,,
id,segments,integer,internal database id,,
segment_name,segments,varchar,,,
street_id,segments,integer,foreign key: refers to streets table,,
,,,,,
id,streets,integer,internal database id,,
street_name,streets,varchar,,,
,,,,,
seg_id,property_on_segments,integer,foreign key: refers to segments table,,
property_id,property_on_segments,integer,foreign key: refers to properties table,,
side_of_segment,property_on_segments,varchar,Controlled vocab? (left / right),,
,,,,,
inscription_id,epidoc_contributions,character(9),foreign key: refers to edr_inscriptions,,
user_name,epidoc_contributions,varchar(30),foreign key: refers to users,,
comment,epidoc_contributions,text,,,
date_modified,epidoc_contributions,varchar(8),of the form MM/DD/YY,,
